y_real,y_pred,data_drift,concept_drift
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,1,,
0.0,0,,
0.0,0,,
0.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,1,,
1.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,1,,
0.0,0,,
0.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
0.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,1,,
0.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
0.0,1,,
1.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,1,,
1.0,0,,
0.0,0,,
0.0,1,,
0.0,0,,
0.0,0,,
0.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,1,,
0.0,1,,
1.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,1,,
0.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,0,,
1.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
0.0,0,,
0.0,0,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
0.0,1,,
1.0,1,,
1.0,1,,
0.0,0,,
1.0,1,,
